rank,song_title,artist
1,Lovin On Me,Jack Harlow
2,Cruel Summer,Taylor Swift
3,Greedy,Tate McRae
4,Paint The Town Red,Doja Cat
5,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
6,Snooze,SZA
7,Water,Tyla
8,Last Night,Morgan Wallen
9,Fast Car,Luke Combs
10,Agora Hills,Doja Cat
11,Thinkin' Bout Me,Morgan Wallen
12,Lose Control,Teddy Swims
13,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
14,Lil Boo Thang,Paul Russell
15,Flowers,Miley Cyrus
16,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
17,FTCU,Nicki Minaj
18,White Horse,Chris Stapleton
19,Stick Season,Noah Kahan
20,What Was I Made For?,Billie Eilish
21,Vampire,Olivia Rodrigo
22,Need A Favor,Jelly Roll
23,Dance The Night,Dua Lipa
24,Fukumean,Gunna
25,World On Fire,Nate Smith
26,Houdini,Dua Lipa
27,Everybody,Nicki Minaj Featuring Lil Uzi Vert
28,Save Me,Jelly Roll With Lainey Wilson
29,First Person Shooter,Drake Featuring J. Cole
30,Used To Be Young,Miley Cyrus
31,Kill Bill,SZA
32,Good Good,"Usher, Summer Walker & 21 Savage"
33,Pretty Little Poison,Warren Zeiders
34,La Diabla,Xavi
35,On My Mama,Victoria Monet
36,Truck Bed,HARDY
37,My Love Mine All Mine,Mitski
38,Save Me The Trouble,Dan + Shay
39,Exes,Tate McRae
40,I Know ?,Travis Scott
41,Wild Ones,Jessie Murph & Jelly Roll
42,Strangers,Kenya Grace
43,Monaco,Bad Bunny
44,Surround Sound,JID Featuring 21 Savage & Baby Tate
45,The Painter,Cody Johnson
46,Get Him Back!,Olivia Rodrigo
47,Never Lose Me,Flo Milli
48,Dial Drunk,Noah Kahan With Post Malone
49,Where The Wild Things Are,Luke Combs
50,You Broke My Heart,Drake
51,IDGAF,Drake Featuring Yeat
52,Harley Quinn,Fuerza Regida & Marshmello
53,Burn It Down,Parker McCollum
54,Bellakeo,Peso Pluma & Anitta
55,La Victima,Xavi
56,Feather,Sabrina Carpenter
57,500lbs,Lil Tecca
58,Qlona,Karol G & Peso Pluma
59,I Can Feel It,Kane Brown
60,Hey Driver,Zach Bryan Featuring The War And Treaty
61,You're Losing Me (From The Vault),Taylor Swift
62,Mind On You,George Birge
63,Can't Catch Me Now,Olivia Rodrigo
64,Different 'Round Here,Riley Green Featuring Luke Combs
65,Segun Quien,Maluma & Carin Leon
66,Man Made A Bar,Morgan Wallen Featuring Eric Church
67,El Amor de Su Vida,Grupo Frontera & Grupo Firme
68,Soak City (Do It),310babii
69,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp"
70,Standing Next To You,Jung Kook
71,23,Chayce Beckham
72,Perro Negro,Bad Bunny & Feid
73,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
74,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
75,Oklahoma Smokeshow,Zach Bryan
76,Wondering Why,The Red Clay Strays
77,Mmhmm,BigXthaPlug
78,Great Gatsby,Rod Wave
79,FE!N,Travis Scott Featuring Playboi Carti
80,Bad Idea Right?,Olivia Rodrigo
81,Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon"
82,Can't Have Mine,Dylan Scott
83,Needle,Nicki Minaj Featuring Drake
84,Virginia Beach,Drake
85,Rich Men North Of Richmond,Oliver Anthony Music
86,Northern Attitude,Noah Kahan With Hozier
87,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift
88,Lace It,"Juice WRLD, Eminem & benny blanco"
89,Mi Ex Tenia Razon,Karol G
90,Run For The Hills,Tate McRae
91,Slime You Out,Drake Featuring SZA
92,Better Place,*NSYNC
93,"Burn, Burn, Burn",Zach Bryan
94,My Eyes,Travis Scott
95,Turks & Caicos,Rod Wave Featuring 21 Savage
96,Tourniquet,Zach Bryan
97,Y Lloro,Junior H
98,Murder On The Dancefloor,Sophie Ellis-Bextor
99,Amargura,Karol G
100,Wildflowers And Wild Horses,Lainey Wilson
